Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
83;5.Aug;2.Jul;3.Sep;1.Feb;Iris-versicolor
84;6;2.Jul;5.Jan;1.Jun;Iris-versicolor
85;5.Apr;3;4.May;1.May;Iris-versicolor
86;6;3.Apr;4.May;1.Jun;Iris-versicolor
87;6.Jul;3.Jan;4.Jul;1.May;Iris-versicolor
88;6.Mar;2.Mar;4.Apr;1.Mar;Iris-versicolor
89;5.Jun;3;4.Jan;1.Mar;Iris-versicolor
90;5.May;2.May;4;1.Mar;Iris-versicolor
91;5.May;2.Jun;4.Apr;1.Feb;Iris-versicolor
92;6.Jan;3;4.Jun;1.Apr;Iris-versicolor
93;5.Aug;2.Jun;4;1.Feb;Iris-versicolor
94;5;2.Mar;3.Mar;1;Iris-versicolor
95;5.Jun;2.Jul;4.Feb;1.Mar;Iris-versicolor
96;5.Jul;3;4.Feb;1.Feb;Iris-versicolor
97;5.Jul;2.Sep;4.Feb;1.Mar;Iris-versicolor
98;6.Feb;2.Sep;4.Mar;1.Mar;Iris-versicolor
99;5.Jan;2.May;3;1.Jan;Iris-versicolor
100;5.Jul;2.Aug;4.Jan;1.Mar;Iris-versicolor
101;6.Mar;3.Mar;6;2.May;Iris-virginica
102;5.Aug;2.Jul;5.Jan;1.Sep;Iris-virginica
103;7.Jan;3;5.Sep;2.Jan;Iris-virginica
104;6.Mar;2.Sep;5.Jun;1.Aug;Iris-virginica
105;6.May;3;5.Aug;2.Feb;Iris-virginica
106;7.Jun;3;6.Jun;2.Jan;Iris-virginica
107;4.Sep;2.May;4.May;1.Jul;Iris-virginica
108;7.Mar;2.Sep;6.Mar;1.Aug;Iris-virginica
109;6.Jul;2.May;5.Aug;1.Aug;Iris-virginica
110;7.Feb;3.Jun;6.Jan;2.May;Iris-virginica
111;6.May;3.Feb;5.Jan;2;Iris-virginica
112;6.Apr;2.Jul;5.Mar;1.Sep;Iris-virginica
113;6.Aug;3;5.May;2.Jan;Iris-virginica
114;5.Jul;2.May;5;2;Iris-virginica
115;5.Aug;2.Aug;5.Jan;2.Apr;Iris-virginica
116;6.Apr;3.Feb;5.Mar;2.Mar;Iris-virginica
117;6.May;3;5.May;1.Aug;Iris-virginica
118;7.Jul;3.Aug;6.Jul;2.Feb;Iris-virginica
119;7.Jul;2.Jun;6.Sep;2.Mar;Iris-virginica
120;6;2.Feb;5;1.May;Iris-virginica
121;6.Sep;3.Feb;5.Jul;2.Mar;Iris-virginica
122;5.Jun;2.Aug;4.Sep;2;Iris-virginica
123;7.Jul;2.Aug;6.Jul;2;Iris-virginica
124;6.Mar;2.Jul;4.Sep;1.Aug;Iris-virginica
125;6.Jul;3.Mar;5.Jul;2.Jan;Iris-virginica
126;7.Feb;3.Feb;6;1.Aug;Iris-virginica
127;6.Feb;2.Aug;4.Aug;1.Aug;Iris-virginica
128;6.Jan;3;4.Sep;1.Aug;Iris-virginica
129;6.Apr;2.Aug;5.Jun;2.Jan;Iris-virginica
130;7.Feb;3;5.Aug;1.Jun;Iris-virginica
131;7.Apr;2.Aug;6.Jan;1.Sep;Iris-virginica
132;7.Sep;3.Aug;6.Apr;2;Iris-virginica
133;6.Apr;2.Aug;5.Jun;2.Feb;Iris-virginica
134;6.Mar;2.Aug;5.Jan;1.May;Iris-virginica
135;6.Jan;2.Jun;5.Jun;1.Apr;Iris-virginica
136;7.Jul;3;6.Jan;2.Mar;Iris-virginica
137;6.Mar;3.Apr;5.Jun;2.Apr;Iris-virginica
138;6.Apr;3.Jan;5.May;1.Aug;Iris-virginica
139;6;3;4.Aug;1.Aug;Iris-virginica
140;6.Sep;3.Jan;5.Apr;2.Jan;Iris-virginica
141;6.Jul;3.Jan;5.Jun;2.Apr;Iris-virginica
142;6.Sep;3.Jan;5.Jan;2.Mar;Iris-virginica
143;5.Aug;2.Jul;5.Jan;1.Sep;Iris-virginica
144;6.Aug;3.Feb;5.Sep;2.Mar;Iris-virginica
145;6.Jul;3.Mar;5.Jul;2.May;Iris-virginica
146;6.Jul;3;5.Feb;2.Mar;Iris-virginica
147;6.Mar;2.May;5;1.Sep;Iris-virginica
148;6.May;3;5.Feb;2;Iris-virginica
149;6.Feb;3.Apr;5.Apr;2.Mar;Iris-virginica
150;5.Sep;3;5.Jan;1.Aug;Iris-virginica
